math_score,science_score,english_score,study_hours,final_score
29,20,56,9.7,45.9
95,32,70,11.7,90.7
34,28,56,3,44
65,30,47,10.1,53.1
22,83,46,11.7,61
46,47,67,2.1,59
20,57,57,7.4,54
98,69,50,9.3,80.4
99,-10,87,10,94.1
67,40,53,6.9,61.3
26,83,37,5.5,49.7
63,41,83,7.1,68.2
88,29,69,7.9,75.8
59,74,88,2.9,75.6
79,54,70,3.9,71.5
46,46,63,2.8,54.7
50,53,56,10.8,69.8
74,89,77,1.6,81.4
37,98,61,8.9,71.1
62,34,83,9.5,76.2
22,96,99,9,88.7
65,57,79,3.8,77.5
84,62,81,7.7,87.1
22,66,93,11.5,77.4
76,44,94,6.6,78.9
43,66,77,11.3,78
98,37,58,9.4,80.1
46,40,66,2.2,58.8
64,41,69,7.7,65.9
99,93,88,5,100.2
31,52,65,7.4,50.9
92,51,97,7.6,92
48,58,37,4.8,60.3
35,89,80,5.2,75.8
83,22,73,3.9,68.8
79,74,73,5.7,87.7
22,92,47,5,58.4
65,71,61,9.3,81.1
73,94,70,4.3,79.9
36,71,88,1.5,66.9
41,45,78,6.1,63.4
54,80,91,11.1,88.2
41,63,90,4.4,69
86,52,44,8.5,70.1
50,45,41,9.6,60.2
28,66,27,8.6,48.3
150,53,57,5.3,64.1
53,44,27,4.8,43.2
21,23,47,4,32.3
61,96,30,11.3,75.7
34,40,79,4.5,55.7
90,31,29,1.2,45.6
56,92,86,3.8,85.2
48,99,80,6.9,85.6
99,62,21,4.6,65.8
97,58,41,4.9,76.8
92,25,30,10.3,67.6
68,60,31,2,55.7
60,84,28,4.2,58.1
51,24,40,10,54.7
74,77,68,8.3,78.7
87,21,83,9.8,72.6
83,74,62,6.2,80.3
29,95,38,6.7,61.8
84,84,86,8.3,97.3
71,61,,3.4,63
54,81,46,4,60.4
35,27,31,9.1,38.9
76,60,48,2.8,62.2
29,34,100,9.1,69.8
55,96,72,5.9,82.1
70,49,61,8.1,75.4
23,70,40,10,53
26,30,97,9.5,64.3
43,82,57,9.5,82
49,57,57,10.7,67.3
100,86,53,9.3,92.7
60,,89,3.9,81.6
78,81,73,2.5,81.8
83,70,90,4.1,85.1
,92,93,9.3,85.4
45,95,68,6,76.6
38,54,72,4,60.6
93,51,21,6.1,62.5
71,34,48,10.2,66.9
45,45,77,9.6,69.1
29,36,32,8.1,43.7
97,60,70,5,84.4
96,100,51,9.9,89.2
85,38,84,5.8,74
42,44,93,7.5,68.3
56,99,100,10.8,97.6
21,88,95,4.8,82.2
32,27,61,8,45.5
60,27,90,2.6,61.4
60,92,35,10.8,74.7
56,43,56,11.4,63.1
21,86,46,4.2,59.3
36,51,99,10.9,77.9
93,44,74,3,65.9
85,23,26,7.9,49.8
79,100,52,7.4,79.5
66,50,37,11,75.7
35,25,93,2.1,60.4
41,35,78,8.7,65.3
30,39,41,5,41.9
98,97,89,-4,108.6
65,52,96,2.3,71.3
50,41,38,4.8,46
99,53,43,10.1,73
97,68,53,10.9,88
43,39,90,7.4,63.7
93,62,36,6,79.6
91,70,27,4.4,73.8
74,,24,4.5,66.5
65,21,33,8.3,52
21,51,61,4.6,46.2
95,21,73,6.2,62.5
55,89,90,6,82.2
40,39,42,3.4,44.1
100,77,66,11.7,94.6
100,63,95,10.9,103.1
40,22,98,3.4,58.7
33,74,72,7.7,68.1
85,34,67,3.2,63.6
61,89,71,10.7,87.9
90,32,91,10.9,89.6
63,28,93,3.1,68.2
75,38,49,5.9,62.9
47,48,45,8.7,55.2
37,95,50,5.3,62.7
42,40,37,5.9,46
57,94,61,9.2,90
22,72,82,2.7,60.4
48,40,79,7,54.9
72,87,100,5,94.6
150,48,29,1.7,44.3
95,74,95,4.4,93.4
74,21,45,3.8,48.7
20,87,26,1.1,42.9
39,83,37,9.6,59.7
75,87,56,9.5,82.1
89,74,47,9.3,88.9
90,55,59,1.7,65.9
24,49,38,9.2,43.8
74,46,49,1.7,64.3
80,75,22,2.2,60.2
68,76,84,1.4,75.2
89,63,69,6.9,84.6
48,-10,43,6.2,63
26,93,61,5.1,66.9
21,63,73,8.3,59.2
43,96,95,6.8,95.8
30,21,85,5.5,55.2
84,34,48,5.4,60.1
84,76,26,4,64.6
80,86,51,5.9,77.9
69,43,74,4.2,64.1
87,77,91,8.2,98.4
36,61,22,10.3,51.7
32,94,51,1.3,63.6
37,48,37,10.6,50.2
24,63,20,3.9,44.6
75,74,53,6.5,67.7
62,78,27,9.9,60.4
34,90,61,1.9,68.9
37,63,51,10.1,60.3
85,23,77,5.7,71.1
75,74,53,6.5,67.7
88,36,30,7,59
72,74,57,2,69.7
60,83,40,8.8,74.9
51,31,100,9,74.6
59,30,64,2.6,57.4
48,45,87,1.4,56.8
41,22,25,9.8,43
22,42,68,3.1,46.9
29,72,91,1.1,62.2
24,48,40,8.3,54.3
21,64,34,7.6,50.2
87,45,65,10.5,81.6
37,83,69,3,63.9
51,80,20,6.6,66.1
42,82,28,4.9,64.5
45,94,82,1.6,70.4
,99,43,4.5,69.7
64,66,51,9.1,69.2
36,40,99,,66.8
70,33,66,6.4,64.4
63,52,67,5,62.8
59,53,29,2.4,45.7
95,97,58,4.8,87.8
21,47,60,6.3,52.8
68,98,89,10.3,99.3
25,68,82,8.6,66.5
79,49,74,2.4,64.5
65,81,78,6.6,86
30,28,76,3.7,47.3
38,28,58,10.7,55.9
62,59,24,3.4,53.1
93,33,78,2.9,70.9
77,89,28,11.6,77.5
60,22,71,3.3,57.2
94,37,59,11,82.2
67,70,53,8,67.7
37,47,29,6.8,51.7
94,38,49,6.9,69.4
43,66,62,3.3,56.7
42,62,24,5.7,55.6
51,83,99,12,90.4
77,35,96,2.6,75.3
64,57,77,8.5,70.3
79,37,,9,52.1
94,36,80,2.7,64.7
46,78,66,6.9,74.9
85,36,39,4.7,60.4
34,54,41,1.7,49.3
56,44,55,7,64.5
59,92,75,10.9,85.8
89,92,36,8.4,83.9
49,61,40,6.8,55.2
23,77,48,6.3,59.2
30,69,87,1,65.5
28,28,72,11,60.4
61,99,58,7,78.7
53,59,96,4.6,80.9
39,48,27,,46.1
84,87,86,6.6,90.8
29,92,95,4.9,78.2
83,63,20,11.8,69.9
32,95,44,2.2,57.1
51,91,62,11.4,78.8
58,72,40,11.8,74.3
24,57,32,8.6,45.3
94,49,74,2.1,77.5
62,28,84,4,61.4
26,58,50,5.2,50.4
41,48,34,5,39.7
80,61,47,4,67.8
85,96,92,8.7,93.7
29,28,78,10.2,53.4
75,52,90,1.3,72.1
65,83,76,4.4,72.2
58,36,85,11.7,73.9
87,69,55,6.5,74.3
57,29,29,4.7,44.8
82,99,99,2.5,95.8
93,54,37,9,74.7
50,92,59,7.1,79.4
66,42,51,6.2,58.1
73,98,90,9.7,104.5
62,52,49,1.7,61.1
64,26,59,5.5,55.1
73,65,91,10.1,87.3
32,36,78,9.7,64.8
20,53,94,9.5,68.8
58,33,57,10.6,65.4
80,23,100,3.3,67.1
75,53,75,9.5,81.5
21,41,55,10.5,43.6
34,100,43,5.3,69.2
60,78,91,3.8,80.5
92,41,96,2.2,84.9
59,80,73,8.5,89
70,54,46,6.6,73.2
74,-10,70,7.1,66.7
89,48,100,4.3,83.5
63,99,89,10.1,98.3
46,20,85,4.9,58.9
49,94,31,4.8,60.7
68,56,59,9.6,73.7
47,98,53,7,67.4
98,98,56,6.7,94.2
44,28,94,7.7,62.9
39,38,81,1.5,60.5
54,41,38,9.9,56.4
61,66,65,1.4,61.1
53,67,86,2.8,71.8
,59,84,11.9,75.8
32,86,99,9.3,84.7
81,95,40,10.3,76.7
91,84,37,11.1,82.2
43,89,83,2.8,75.5
73,52,21,4.6,55.5
81,62,28,1.3,61.1
23,89,22,11.4,61.1
96,48,78,5.5,85.4
93,79,70,2.6,86.2
90,26,73,10.7,74.1
75,25,34,2.2,49.6
91,86,64,2.2,83
58,35,49,5.7,52.7
46,37,65,3.1,55.8
75,78,75,11.7,90.4
39,83,44,7.6,67.5
59,86,21,9,59.6
52,74,58,7.5,77.2
59,98,91,8.3,82.7
67,61,58,6.1,69.1
94,64,56,6.5,82.4
74,77,66,6.3,79.7
37,42,95,8.6,62.5
66,53,41,5.3,65.6
96,28,60,7.6,72.4
80,45,70,3,69.1
77,51,98,8.1,78.7
27,74,60,2.3,53.6
40,41,59,11.7,58.8
57,57,42,5.4,64.5
40,54,52,10.9,60.9
42,89,75,4.2,74.7
62,23,49,4.3,47.9
32,92,58,5.4,66.1
64,24,56,10.8,57.9
41,26,71,10.9,60.5
21,91,75,6.5,68.1
20,90,83,1.1,67
46,90,39,5.8,68.8
32,40,93,9.4,64
30,89,43,11.6,74.4
38,59,24,7.4,48.4
89,20,77,6.7,65.8
43,28,26,,45
59,60,47,7.4,64.8
40,88,82,7.3,72.2
37,80,93,11.5,83.2
62,57,98,9.2,72.9
45,75,31,1.4,53.1
31,81,52,3.3,61.1
92,82,56,4.5,80.7
35,89,69,10.7,80.4
38,34,85,9.8,64
98,89,41,2.9,87.1
55,83,45,4.6,63.9
27,96,82,4.9,81.3
79,50,32,7,66.1
55,39,43,3.2,47.2
51,63,59,7.2,59
50,80,53,9.7,73.4
71,24,33,1.9,44
31,79,76,11.8,81.1
76,32,23,6.7,60
74,84,38,6.7,74.2
30,26,32,8.1,43.5
63,48,40,6.4,59.5
22,61,28,-4,51.9
71,95,42,3.7,80.9
62,88,25,9.9,68.6
59,66,99,5.1,78.4
50,88,88,-4,84.9
56,84,45,3.9,67.6
87,59,,7.5,67.9
86,61,21,6,66.6
28,85,86,,80.2
92,40,96,7.1,84.3
43,46,37,2.9,47
36,26,87,3.6,53.4
26,78,33,8.2,56.3
82,85,64,4.9,86.1
75,58,73,10.1,81
59,60,51,7.4,63.2
68,35,82,8.1,71.6
,90,64,10,75.5
80,46,26,2,49.6
65,68,39,11.5,71.9
57,30,76,8,58.4
82,38,76,1.8,61.3
59,69,91,11.9,86.6
59,60,51,7.4,63.2
38,52,33,7.5,53.3
76,89,59,3.7,77.9
26,80,52,10.1,66.1
27,62,100,8.3,70.3
31,85,62,3.3,68.1
90,30,57,2,69.7
96,39,34,,75.3
99,75,55,8.3,87.3
41,73,88,11.5,82.7
70,85,74,1.1,84.8
68,62,70,1.1,68.7
35,20,35,2.1,41
58,90,63,3,72.8
67,,90,1,72.1
75,24,24,8.6,43.6
95,89,46,5.7,84.8
45,98,66,11.1,80.9
30,20,85,6.2,55.8
57,21,29,3,41.5
69,58,41,6.8,58.6
45,26,50,10,51.1
58,25,72,5.8,62.2
54,34,21,2.7,41.5
64,49,50,11.3,76.7
35,45,92,6.3,65.6
45,43,59,10.9,60.7
58,90,88,8.1,90.6
25,68,79,7,69.6
80,83,65,11.5,92
48,82,23,11,63.6
78,66,56,4.1,71.9
85,43,43,4.2,63.1
96,78,54,11.4,89.7
100,48,49,8.4,78.3
44,39,78,11.8,63.1
29,54,91,10.2,67.9
75,67,99,7.5,92.9
24,25,23,5.5,40.6
54,43,48,8.2,61
89,72,74,10.7,93.4
51,37,95,3.2,67
91,75,61,4.8,75.7
89,37,91,8.9,83.5
20,29,80,1.2,47.5
62,71,57,10.8,73.5
21,99,94,2.4,73.3
97,73,63,2.6,86.1
35,72,98,5.3,73.8
87,84,100,4.4,100.5
98,,58,3,90.4
47,28,96,7.2,62.2
58,88,20,2.5,58.1
98,88,60,1.3,77.6
91,41,61,1.8,61.4
23,55,63,10.2,55.4
85,61,61,3.6,76.2
57,84,58,6.8,68.2
24,22,20,3,22.2
88,36,87,9.7,83.9
81,69,40,2.7,61.1
37,91,33,3.4,54.9
28,50,74,11.3,63.4
,89,80,4,86.2
36,60,91,9.2,69.3
150,100,33,10.2,78.7
68,93,32,5.7,73.5
53,94,34,11.9,73.4
93,54,37,9,74.7
38,29,88,5.5,54.2
53,66,24,4.7,48.2
95,57,38,4.4,68.2
58,69,53,8.5,68.7
76,78,52,5.7,79.4
76,36,64,8.2,67.5
26,63,23,10.6,48
150,37,56,7,56.4
100,20,83,2.6,75.9
55,20,33,5.5,43.5
67,75,42,6.4,68.9
87,91,79,10.4,91
55,50,65,7.3,66.3
50,69,98,1.6,74.9
76,39,71,10.1,81.4
55,24,72,2.3,56.7
71,34,48,8.2,59.2
32,74,65,1.4,68.2
29,86,53,3.3,62
43,89,45,6.6,67
78,74,63,10.9,88.3
78,100,90,11.4,96.9
24,50,54,10,48.9
,99,60,6.2,63.8
79,53,63,5.6,69.2
99,53,44,9.6,72.4
60,32,36,10.5,52.8
85,33,32,6.4,57.7
62,41,46,7.9,56.5
39,65,31,3.8,51.9
78,22,21,1.5,39.4
97,67,26,2.2,71.8
93,49,44,2.1,56.6
73,80,63,7.2,77.3
94,50,35,2.5,70.4
57,66,100,2.1,75.4
64,74,62,7.8,75.1
46,63,,3.5,72
65,68,71,5.3,66.8
59,31,68,10,58.7
50,44,51,7.6,57.1
20,81,29,6,50
78,66,83,2.2,79.8
57,64,28,7.5,59.5
33,40,88,7.2,62.1
34,54,53,3.4,51.7
30,67,70,6.1,58.5
78,86,34,11,82.3
95,75,63,,81
87,70,80,7.3,90.4
84,38,66,2.5,72.9
92,43,20,6.7,55.5
74,53,51,7.7,74
27,82,75,7.3,71
85,87,68,9.6,90
72,50,40,7.3,66.6
88,98,45,6.6,88.6
92,89,87,5.3,94.5
22,57,60,7,53.1
31,49,95,9.6,61.4
80,34,92,10.1,77.9
77,41,100,2.5,72
48,89,57,8.8,74.2
77,81,89,4.6,84.2
94,91,83,3.4,89.1
67,63,67,6.8,70.6
76,57,22,4.7,52.1
42,82,87,11.6,88.8
48,100,50,6,70.7
54,31,94,10.2,72.6
79,38,65,10.8,77.4
80,84,33,4,75.4
31,34,28,8.6,44.1
28,21,77,5.3,44.1
41,78,45,1.8,56.6
65,74,47,2.5,69
42,26,49,4.7,49.9
32,40,,4.5,53.8
53,75,55,10,68.2
54,26,52,8.4,56.7
71,48,22,10.5,64.1
77,58,56,9.6,84.3
23,37,28,6.7,39.9
84,95,98,6,102.7
69,90,22,8,65.2
60,23,66,3.3,49.1
75,33,24,9.6,54.1
80,63,28,4.1,71
26,59,22,3.8,40.3
34,41,32,1.3,39.5
86,45,61,8.8,72.8
29,33,,5.8,36.7
70,54,46,6.6,73.2
23,42,98,2.1,59.5
20,29,75,10.2,52.3
60,64,31,4.7,51.6
85,78,64,10.6,89.7
20,39,89,10.3,65.2
39,71,89,10.2,79
24,73,27,8.8,54.8
61,64,38,3.5,56.2
56,51,44,9.4,64.7
44,58,84,7.6,78.2
52,36,99,10.6,72.1
29,85,38,7.8,59.9
46,63,26,2.7,51.3
99,51,32,6,67.3
92,93,35,8.8,86
33,97,23,10.4,69.8
73,75,30,2.7,56.6
88,91,70,7.9,96.6
40,71,79,7.7,80.3
63,24,75,10.9,60.4
60,88,72,8.1,83.4
71,30,53,7.7,61
83,81,51,1.3,81.8
40,26,69,11.1,63.3
73,64,74,8.9,78.2
72,59,29,2.3,62.8
46,21,31,2.7,37.5
35,85,26,8,57.5
24,98,52,11.9,62.4
28,54,39,1.1,42.1
28,40,84,3.7,58.7
78,42,28,3.1,42.5
67,22,48,4.5,50.9
100,87,91,2.1,98.7
76,60,48,2.8,62.2
43,26,100,9.5,71.8
33,67,46,9,62.1
98,81,67,12,99.1
37,42,68,3,52.8
53,55,26,10.8,55.3
90,89,85,11.5,104.2
44,36,25,11.5,46
66,55,71,3,69
34,40,90,4.6,51.6
59,47,84,11.6,82.6
77,54,79,8.2,83.8
48,92,31,11.1,73.2
88,20,25,11.9,59.4
88,34,45,10.4,66.9
34,55,42,11.7,60.3
98,67,55,4.2,77.6
28,85,78,,63.8
89,37,29,2.3,50
90,72,61,4.6,82
38,46,94,2.5,63.1
43,93,42,1.4,67.4
50,67,37,4.7,54.3
38,22,43,1.4,39.5
45,38,84,8.9,59.2
57,79,52,11.1,65.7
92,87,37,5.5,80.1
43,62,91,6.2,73.4
78,29,27,5.2,52.1
25,21,71,5.7,45.3
50,40,71,11.1,74.6
54,85,37,4.6,62.9
60,53,95,5.7,71.2
34,74,53,10.6,67.8
85,76,86,10.7,97.4
30,26,36,11.7,46.2
23,24,22,7.2,25.2
47,60,81,5.8,72.1
26,57,83,3,63.5
75,65,66,11,80.1
92,53,74,10.4,83.3
84,68,80,4.5,82.3
36,34,38,3.1,34.1
53,28,86,8.6,60.6
90,87,44,6.2,86.3
24,40,33,4.4,31.5
70,27,62,8.3,56.4
36,45,68,2.1,50.3
80,52,72,5.4,82.3
100,32,67,7.6,73.4
41,89,54,11.2,70.2
98,53,55,2.8,69.6
44,85,,,66.1
25,37,58,3.8,42.4
38,98,71,6.8,77
76,33,85,1,70.1
25,91,87,4,78.8
23,89,65,5.7,62.1
66,50,37,11,75.7
92,41,99,10.4,93.2
43,70,42,8.5,64.7
52,70,33,8.9,60.7
72,59,57,5.8,77.6
63,50,65,1,56.9
27,62,92,9,70.7
74,55,52,5,77
60,70,55,9.1,73.9
100,69,84,8.3,93.8
35,20,84,4.7,46.2
90,84,33,8.5,77.2
61,62,95,8,81.8
98,76,76,6.6,94.3
68,81,81,10.7,93.4
20,67,97,2.5,60.1
60,60,76,4.6,79
150,78,46,5.9,53.6
82,59,34,8.3,67.7
85,33,79,2.7,76.4
77,64,52,9.7,77.2
64,57,77,8.5,70.3
61,36,73,2.8,55.6
39,97,83,7.6,80.9
50,58,67,2.1,62.3
22,57,60,7,53.1
47,66,76,8.8,77.1
20,22,79,11.7,50.6
95,86,43,10,90.2
40,41,99,10.5,75.9
48,40,67,5.3,59.5
24,47,45,7.4,45.7
37,21,39,8,47.1
,47,69,5.2,55.8
29,65,38,11.7,58.8
40,52,53,10,57.8
100,41,55,3.7,69.3
40,55,88,11.1,74.3
23,66,54,11.5,62.2
92,80,92,5.5,97
38,48,76,6.6,66.4
38,79,99,7.4,77.2
36,81,69,6.3,69.2
98,40,66,9.1,78
62,42,39,9.2,55.5
79,85,74,4.7,84.8
42,78,58,9.8,71.1
66,27,53,10.6,58
74,37,63,11.4,75.1
30,51,32,8.8,45
82,82,92,10,102.3
88,26,79,7.5,74.4
67,66,40,4.8,62.7
81,82,91,3.6,83.2
98,59,28,7.2,72.8
58,37,45,3.9,48.2
64,55,26,3,49.6
53,40,82,3,62.3
24,73,27,8.8,54.8
66,41,89,11.8,79.1
99,60,46,6.7,73.4
72,69,41,7.9,73.3
97,98,71,7,101.2
66,44,40,9.2,56.8
82,82,92,10,102.3
36,76,35,2.4,52.7
34,59,45,6.9,51.4
20,96,35,7.5,64.1
40,38,60,3.4,48.3
89,,73,8.1,91.2
63,61,84,11,87.5
74,52,79,5.3,75.2
44,70,70,8,79.9
93,97,48,6.2,84.9
56,67,35,4,61.3
78,38,94,11,82.4
82,79,36,4.9,73.1
59,61,77,11.6,79.4
29,28,75,10.8,53.7
45,28,57,4.6,50.3
24,40,33,4.4,31.5
78,84,31,11.8,81.7
34,69,33,6.6,49.5
48,82,77,5.7,68.6
65,36,98,10.6,73.8
64,71,57,7.3,69.7
98,32,80,8.1,83.1
21,55,72,4.7,50
46,81,81,7.4,71.2
83,20,36,6.5,52.5
86,53,24,7.4,58.4
98,49,46,1.6,80.9
84,59,86,10.5,94.3
76,95,72,8,90.7
51,31,64,6.8,60.7
44,53,37,7.2,57.4
76,54,91,1.6,79.1
87,99,39,4.8,80.7
53,33,64,10.2,71.2
80,58,90,5.7,89.3
75,60,70,6.3,83.8
88,70,87,4,92.9
86,39,89,4.9,76.2
88,28,76,2.8,67.9
96,24,50,9.8,71.8
80,33,94,4,79
97,37,47,8.4,70.6
20,59,20,8.4,40.2
64,42,36,1.2,48.7
87,46,65,5.9,73.7
53,66,87,5.3,74.9
75,50,23,6.9,59.3
76,63,87,2.4,84.6
31,92,60,7.1,62.1
28,65,93,5.8,65.6
90,80,87,4.6,86.1
98,75,47,2.4,79.9
33,100,83,4.8,76.4
34,,69,8.8,67
30,38,36,2.7,43.4
74,32,66,9,74.5
89,71,34,5.7,70.6
57,88,65,9.3,80.1
79,37,42,5.6,56.6
36,29,94,11.6,64.6
42,64,27,6.4,56
34,70,66,7.5,65.6
83,97,81,5.5,92.5
50,30,80,8,64.5
30,39,41,5,41.9
47,51,94,2.5,62.3
42,97,85,7.1,73.6
62,73,24,4.8,62.6
92,44,34,10.5,68.4
60,31,58,3.1,54.9
96,78,38,4.5,75.2
90,54,23,5.7,65.6
81,73,39,1.6,65.8
71,61,75,1.7,75.4
24,38,24,9.2,33.8
44,53,37,7.2,57.4
55,43,70,2.7,70.5
22,100,100,11.4,92.8
81,33,51,3.2,53.4
44,100,25,3.4,51.6
66,81,49,2.8,73.2
82,90,41,8.9,79.3
50,82,25,2.8,57.2
48,22,40,7.1,52
85,43,98,9,84.8
60,55,93,8,79.7
42,77,64,5.1,61.9
76,35,54,11.4,62.2
68,85,55,8.4,75.5
57,32,42,4.2,49.9
97,25,84,3.1,75.2
51,70,49,10.2,71.6
24,44,66,5.5,58.6
70,79,49,6.9,77.8
53,89,62,7.4,76
23,95,64,8.8,65.7
50,54,48,9.7,60.6
33,81,66,3.7,61.5
85,31,71,6.1,73.4
75,35,23,2.4,53.2
52,53,31,5.7,48.8
87,59,,7.5,67.9
35,75,25,11.5,59
29,74,97,11.1,83.8
85,97,55,4.6,83.8
79,85,49,11.7,78.5
77,96,44,11.7,87.2
35,84,65,4.1,73.2
95,73,65,3,75.2
25,99,33,9.6,64
63,82,64,9.8,80
47,21,46,9.9,49
40,61,52,9,64.3
59,97,20,12,68.8
97,74,68,8.2,86
65,30,47,10.1,53.1
52,88,79,6.3,91.1
53,80,54,3.6,56.6
77,48,60,8.8,74.5
62,30,45,11.4,59.8
45,39,79,6.7,62.1
64,95,41,11.5,79.3
97,39,,7.2,72
98,52,58,1.7,72.6
26,47,25,10.7,35.4
66,70,92,5.6,77.3
26,88,70,8.8,69.6
88,79,63,6.9,85.3
70,80,56,10.3,76.5
99,67,85,10.2,92.1
45,79,48,3.7,65.9
42,64,40,10.2,62.9
57,,47,5,52.1
82,53,58,4,69.3
42,99,87,2.6,84
85,42,27,1.7,57.2
59,88,93,5.3,83.8
74,53,75,2.5,73.9
25,82,65,4,61.4
52,65,30,10.2,64.2
63,95,75,7.7,90.2
